condition,subname,trial
tm,EM1,1
tm,EM1,2
tm,EM1,3
tm,EM1,4
tm,EM1,5
tm,MD1,1
tm,MD1,2
tm,MD1,3
tm,MD1,4
tm,MD1,5
tm,CN1,1
tm,CN1,2
tm,CN1,3
tm,CN1,4
tm,CN1,5
tm,CN1,6
tm,AR1,1
tm,AR1,2
tm,AR1,3
tm,AR1,4
tm,AR1,5
tm,AR1,6
tm,IC1,1
tm,IC1,2
tm,IC1,3
tm,IC1,4
tm,IC1,5
tm,IC1,6
tm,EK1,1
tm,EK1,2
tm,EK1,3
tm,EK1,4
tm,EK1,5
tm,EK1,6
tm,CN2,1
tm,CN2,2
tm,CN2,3
tm,CN2,4
tm,CN2,5
tm,CN2,6
tm,LP1,1
tm,LP1,2
tm,LP1,3
tm,LP1,4
tm,LP1,5
tm,LP1,6
tm,HK1,1
tm,HK1,2
tm,HK1,3
tm,HK1,4
tm,HK1,5
tm,HK1,6
tm,EK2,1
tm,EK2,2
tm,EK2,3
tm,EK2,4
tm,EK2,5
tm,EK2,6
tm,WL1,1
tm,WL1,2
tm,WL1,3
tm,WL1,4
tm,WL1,5
tm,WL1,6
tm,MD2,1
tm,MD2,2
tm,MD2,3
tm,MD2,4
tm,MD2,5
tm,MD2,6
tm,AR2,1
tm,AR2,2
tm,AR2,3
tm,AR2,4
tm,AR2,5
tm,AR2,6
tm,SP1,1
tm,SP1,2
tm,SP1,3
tm,SP1,4
tm,SP1,5
tm,SP1,6
tm,LX1,1
tm,LX1,2
tm,LX1,3
tm,LX1,4
tm,LX1,5
tm,LX1,6
tm,IC2,1
tm,IC2,2
tm,IC2,3
tm,IC2,4
tm,IC2,5
tm,IC2,6
tm,TD1,1
tm,TD1,2
tm,TD1,3
tm,TD1,4
tm,TD1,5
tm,TD1,6
tm,HH1,1
tm,HH1,2
tm,HH1,3
tm,HH1,4
tm,HH1,5
tm,HH1,6
tm,ML1,1
tm,ML1,2
tm,ML1,3
tm,ML1,4
tm,ML1,5
tm,ZH1,1
tm,ZH1,2
tm,ZH1,3
tm,ZH1,4
tm,ZH1,5
tmrv,EM1,1
tmrv,EM1,2
tmrv,EM1,3
tmrv,EM1,4
tmrv,EM1,5
tmrv,MD1,1
tmrv,MD1,2
tmrv,MD1,3
tmrv,MD1,4
tmrv,MD1,5
tmrv,CN1,1
tmrv,CN1,2
tmrv,CN1,3
tmrv,CN1,4
tmrv,CN1,5
tmrv,CN1,6
tmrv,AR1,1
tmrv,AR1,2
tmrv,AR1,3
tmrv,AR1,4
tmrv,AR1,5
tmrv,AR1,6
tmrv,IC1,1
tmrv,IC1,2
tmrv,IC1,3
tmrv,IC1,4
tmrv,IC1,5
tmrv,IC1,6
tmrv,EK1,1
tmrv,EK1,2
tmrv,EK1,3
tmrv,EK1,4
tmrv,EK1,5
tmrv,EK1,6
tmrv,CN2,1
tmrv,CN2,2
tmrv,CN2,3
tmrv,CN2,4
tmrv,CN2,5
tmrv,CN2,6
tmrv,LP1,1
tmrv,LP1,2
tmrv,LP1,3
tmrv,LP1,4
tmrv,LP1,5
tmrv,LP1,6
tmrv,HK1,1
tmrv,HK1,2
tmrv,HK1,3
tmrv,HK1,4
tmrv,HK1,5
tmrv,HK1,6
tmrv,EK2,1
tmrv,EK2,2
tmrv,EK2,3
tmrv,EK2,4
tmrv,EK2,5
tmrv,EK2,6
tmrv,WL1,1
tmrv,WL1,2
tmrv,WL1,3
tmrv,WL1,4
tmrv,WL1,5
tmrv,WL1,6
tmrv,MD2,1
tmrv,MD2,2
tmrv,MD2,3
tmrv,MD2,4
tmrv,MD2,5
tmrv,MD2,6
tmrv,AR2,1
tmrv,AR2,2
tmrv,AR2,3
tmrv,AR2,4
tmrv,AR2,5
tmrv,AR2,6
tmrv,SP1,1
tmrv,SP1,2
tmrv,SP1,3
tmrv,SP1,4
tmrv,SP1,5
tmrv,SP1,6
tmrv,LX1,1
tmrv,LX1,2
tmrv,LX1,3
tmrv,LX1,4
tmrv,LX1,5
tmrv,LX1,6
tmrv,IC2,1
tmrv,IC2,2
tmrv,IC2,3
tmrv,IC2,4
tmrv,IC2,5
tmrv,IC2,6
