Condition,LD1,LD2,LD3,LD4,LD5,LD6,LD7
Team Flow,13.98138169,-18.88532464,17.22657664,2.240152111,13.50871439,9.193272843,6.358180037
Team Flow,12.47163464,-19.73545833,18.19785184,3.224476518,13.23433163,9.735125306,6.174472292
Team Flow,13.57755526,-19.99207756,18.75010682,1.555681659,12.54875294,8.4201371,6.283488335
Team Flow,12.57853638,-19.04746576,18.21556499,2.62533237,13.20020025,8.424794398,5.461024753
Team Flow,13.40112563,-19.87493126,17.54015006,3.721865172,14.40024815,8.699762023,6.121035444
Team Flow,4.485430429,7.162312726,-1.273446493,1.807323098,6.274984554,-1.782142628,-1.672104426
Team Flow,2.09204375,4.137625444,-1.265219374,0.639183054,5.385982639,-0.595434259,-1.274414219
Team Flow,1.413097034,5.981855492,-3.013709503,2.454526824,5.526624063,-0.57729593,-1.243657862
Team Flow,1.162174803,7.338561028,-1.66362019,0.487218942,6.41392712,1.928639746,-2.241118958
Team Flow,1.317603053,6.070505168,-1.118376904,1.515294796,6.538841679,0.080342876,-2.998963853
Team Flow,0.811025408,-5.281372442,4.294393736,0.597631066,1.046843486,-2.908528374,1.780486836
Team Flow,-1.546651719,-4.768247853,6.265191399,-1.435585495,1.752947969,-5.127831767,1.30889932
Team Flow,-1.281370953,-3.660456633,3.391904847,-2.03291342,2.672151781,-1.78200561,1.642927706
Team Flow,-0.483606928,-5.299558801,2.952326938,-1.360911109,1.77262212,-2.856858057,0.637476988
Team Flow,-2.628967527,-5.387145711,5.50918637,-0.899645748,3.020574475,-3.186286678,4.774211686
Team Flow,-0.853279757,-6.574965516,3.963863584,-2.006579218,1.756063817,-2.08415567,2.070727206
Team Flow,-0.740075885,-7.824710818,-0.15041062,-0.369597726,1.587740738,0.295656266,0.044282404
Team Flow,-2.016152249,-9.742266495,-0.608310034,-2.626282892,0.436915198,-0.20324524,-0.779185285
Team Flow,0.044072686,-9.384489755,1.133117998,-0.376767075,3.534319007,1.33019687,0.98582514
Team Flow,-1.233447236,-7.586608282,-1.368194698,0.072782963,3.219731944,1.439465866,1.536433688
Team Flow,-3.046516951,-8.22522902,-0.200703746,-1.674702854,1.263418729,1.11838594,0.24084542
Team Flow,-1.98844362,-9.170065234,0.25181342,-1.060644797,4.034976013,-0.51032331,1.221868197
Team Flow,-0.549981447,-0.782403697,4.364923288,-0.425176419,-0.606158321,2.865747402,-2.035787252
Team Flow,0.703328198,1.343835445,3.559855783,-0.240857973,-1.004029191,2.341190087,-0.492860308
Team Flow,1.503877826,-0.589999899,2.225215361,-0.680433108,-1.406692193,-0.882643828,-0.576880665
Team Flow,0.509890872,-1.527389277,2.549658068,-0.024694134,-3.437267045,0.88100351,-1.246808761
Team Flow,0.095834311,-0.312645707,2.082551995,-0.871653058,-1.569539505,2.990865923,0.166431005
Team Flow,2.64970922,-0.237477513,4.469641441,0.597065212,-2.01745836,1.943785774,0.502990294
Team Flow,-3.830746949,9.804877895,-1.068415688,3.193895243,-3.539921824,1.252523364,-2.314264936
Team Flow,-2.912284564,9.143764831,-2.151463142,3.428058778,-3.231197617,-0.891613788,-4.100968957
Team Flow,-3.088504739,9.321991432,-0.641379537,2.679855689,-2.786800844,1.119644337,-1.952643741
Team Flow,-2.87777474,10.51358934,-1.030336223,2.762241898,-1.816195882,0.287478247,-1.510864719
Team Flow,-3.059057485,10.54917634,-0.003607001,3.152658809,-3.93747166,1.738171629,-1.980902896
Team Flow,-2.541894497,10.03004983,-1.099341819,1.64130198,-2.093588861,0.657553262,-3.174119412
Team Flow,-4.786070883,4.465270223,-2.021903216,-2.976279103,0.798642804,-0.263663621,-0.060507351
Team Flow,-3.814651762,3.472737534,-0.30801602,-2.485082585,1.717115377,-1.532421061,-2.7965287
Team Flow,-3.16073712,1.218672763,-1.476064147,0.098667244,1.032088062,-1.071781379,-2.486628736
Team Flow,-4.491887109,4.569119304,-1.788860357,-2.681229096,-0.01944066,0.106636705,0.455632505
Team Flow,-4.258356312,2.926569365,0.338346786,-0.790942443,-2.60867516,-1.436291824,-0.79057189
Team Flow,-3.753258355,0.888194194,-0.906310767,-0.646507077,2.065597514,-1.409374111,-0.352628702
Team Flow,4.252328531,6.893950128,4.335274491,5.173428675,1.104496794,3.14728888,-0.957786716
Team Flow,4.365085435,6.476825784,4.738830531,6.461668594,0.88868943,1.938484977,-1.931589973
Team Flow,3.441674156,6.553727209,1.765345717,4.243061306,1.588392124,3.475975839,-2.687115
Team Flow,1.950740091,6.10324983,2.91877651,5.10897542,0.706324063,4.418433737,-2.847439266
Team Flow,2.316302525,6.618804243,1.747308148,5.624238905,1.513907789,3.32273167,-0.941799523
Team Flow,3.481113036,5.643364477,3.614301866,7.017647818,-0.268538781,3.978233899,-4.159514698
Team Flow,-1.162003912,-0.700207488,0.491270512,2.473336473,-1.53934633,0.693674825,-1.607949102
Team Flow,-0.968073557,-0.384741327,1.112529512,0.641592655,2.620948377,0.096850525,-0.266322643
Team Flow,-1.242427205,-2.174893997,-1.361369964,0.01110607,1.471769376,1.796845462,-1.99858078
Team Flow,-0.956383152,0.190596445,-0.725281317,1.011085352,1.384155176,3.546874054,-2.627827208
Team Flow,-0.469251547,-3.507542581,0.906192663,0.768844569,0.786800369,3.151765558,-1.377066505
Team Flow,-1.276085287,-2.385959062,1.029645608,2.370770197,2.245966732,1.091557992,-1.829229387
Team Flow,-0.229371091,3.610465192,1.647922127,5.24691326,2.675678486,-0.236283502,-2.921506152
Team Flow,-2.052523528,0.176737602,1.804931339,4.739462622,2.687398058,0.410916102,-3.475122176
Team Flow,-1.824676991,3.5956296,3.157662913,3.218244783,2.769056004,-1.409841282,-1.946397047
Team Flow,-2.216759986,1.972189355,1.892560218,7.125529814,3.493377159,-0.319156691,-3.452362674
Team Flow,-3.056938009,0.481935242,2.021827545,7.465831819,2.074358801,1.860613677,-2.266574112
Team Flow,-1.253323755,4.599165628,2.076157483,6.436049538,4.777387265,1.094894754,-4.160319363
Team Flow,-1.861566344,0.914298396,-3.029241756,-3.868511291,-1.058577201,1.111238571,-0.986419627
Team Flow,-4.508435339,0.812933299,-2.843491332,-6.032065009,-0.193404984,-2.439255304,0.443166102
Team Flow,-2.406482644,3.678818959,-2.915910666,-2.464874485,-1.610031932,-0.718051093,-2.355931229
Team Flow,-4.51986482,3.251859105,-2.324100997,-2.047834029,-0.835625843,-0.592876798,-1.579577016
Team Flow,-2.763348812,2.634392926,-4.890506748,-4.997521282,-0.4708494,-0.1675126,-0.466198066
Team Flow,-0.979271974,2.010392896,-3.424900327,-4.786787593,-1.504198252,-0.992487607,0.356962469
Team Flow,-1.988071124,-0.808856832,-2.319332046,-2.732539139,-2.505109785,0.049849881,-1.859729225
Team Flow,-2.914159676,-2.444751328,1.582004802,-4.308155863,-3.126778997,-1.428709833,0.511169778
Team Flow,-3.751024689,-2.107868221,-0.96193522,-4.224892371,-1.735897547,-0.983331588,1.750643724
Team Flow,-2.155572631,-1.668363657,-2.560878118,-4.906283987,-0.131141018,-1.056894646,-0.042922826
Team Flow,-4.308161005,-2.033778226,-1.338378233,-5.547602714,-0.457446914,-2.089497061,-0.721069214
Team Flow,-3.58782887,-1.067289086,-1.757720619,-6.160172282,-2.078404642,-0.859363784,0.113179057
Team Flow,-1.24010698,-8.916904387,2.196427951,0.043352517,-1.965723608,3.968662889,-2.111478182
Team Flow,-0.501816058,-10.88756662,0.510785361,-0.631012016,0.318290132,6.792000901,0.151673117
