beh,edist,repeated
1.978118502,0.184728453,1
2.112167604,0.226277161,1
0.659631963,0.09938128,1
0.783039087,0.178619357,1
2.763580903,0.387610512,1
1.244113455,0.387341168,1
1.151655374,0.405303086,1
2.408665729,0.39241473,1
3.170154384,0.383059898,1
1.908341128,0.372151505,1
1.936771855,0.510842905,1
1.699481361,0.537085438,1
1.368039891,0.489918667,1
2.651714389,0.481626868,1
2.332949448,0.537689996,1
2.336359156,0.506125901,1
2.298902883,2.354218876,1
2.4953702,2.183458929,1
1.90959855,2.24573951,1
1.930020038,2.233760697,1
2.480493686,2.2649287,1
2.457332584,2.267571085,1
2.655379542,2.520226936,1
2.95284958,2.588960246,1
2.655379542,2.461376416,1
3.800854302,2.469765703,1
2.850037978,2.574858663,1
3.105482268,2.544918091,1
3.719128293,2.587604851,1
1.90959855,2.681091077,1
4.009741815,2.642084825,1
2.158621186,2.712579615,1
2.050761753,2.586668031,1
1.883091932,2.594250557,1
2.112470105,3.677929275,0
3.003532937,3.705496267,0
2.274929739,3.710512195,0
3.144061417,3.685389596,0
3.742228442,3.696914043,0
2.824927572,3.642724134,0
2.957435595,3.708885601,0
3.426115837,3.707404055,0
2.957435595,3.667662207,0
3.144061417,3.700074013,0
3.669891861,3.669215047,0
3.074108825,3.673140303,0
2.957435595,3.910890015,0
3.391709962,3.907068007,0
3.074108825,3.934295174,0
3.284799043,3.897277482,0
3.534627397,3.944065472,0
3.458819156,3.970055404,0
2.671216758,3.923220677,0
2.833395985,3.928856142,0
3.084260888,3.933130281,0
2.687850548,3.922324548,0
2.833395985,3.936575898,0
2.809642494,3.889074624,0
2.840626833,3.927077395,0
3.204497275,3.89687036,0
3.288623144,3.883672612,0
2.867982451,3.929611024,0
3.032567873,3.955293212,0
3.015947033,3.923317036,0
2.426575494,3.806481479,0
3.032567873,3.82520768,0
3.006039851,3.829099783,0
2.785804733,3.790875118,0
2.815599654,3.766518443,0
2.723545723,3.829418372,0
2.241634446,4.819022077,0
2.300457014,4.806880595,0
3.774022871,4.791394262,0
2.85496257,4.805572175,0
2.790080766,4.808871555,0
2.68289305,4.782405828,0
3.235444303,4.316912694,0
3.172691957,4.321005589,0
2.898546731,4.297296618,0
4.134654334,4.303528786,0
3.80862805,4.328543914,0
3.921257552,4.326295601,0
2.42129854,4.673043458,0
2.290988906,4.693557942,0
3.916982299,4.713846694,0
3.604903457,4.688360447,0
2.495349785,4.67286413,0
3.934055438,4.67274286,0
2.942490737,3.074394612,0
3.112954414,3.098861471,0
3.780321672,3.022745227,0
4.030276706,3.110973647,0
2.738144294,3.090142055,0
3.084644357,3.141974709,0
3.608328713,2.924853956,0
3.514325784,2.82743525,0
4.524214662,2.942829798,0
4.66705538,2.851929511,0
3.63848571,2.860586152,0
4.234033952,2.830687639,0
2.914346946,2.980905609,0
3.696325813,3.056861159,0
4.165688185,3.017982593,0
3.514325784,3.025590444,0
3.869725933,3.043384933,0
3.424826047,3.00684835,0
2.867925093,4.889266143,0
3.048643304,4.860497717,0
3.175913796,4.850059113,0
3.478566834,4.868519437,0
3.96261769,4.838238305,0
4.218457098,6.354266216,0
4.376163488,6.381194853,0
4.484076657,6.373677737,0
4.000491612,6.3320562,0
4.469583728,6.404141659,0
4.029703016,6.265377256,0
3.617128765,6.245673856,0
4.649573376,6.221048341,0
3.663951463,6.211023359,0
3.361652456,6.213182877,0
2.721139572,3.173299022,0
2.206892761,3.234886151,0
2.941937871,3.147168069,0
2.351400658,3.18315916,0
2.927957593,3.181985302,0
2.027600049,3.116923276,0
3.409693966,3.218577324,0
2.283734256,3.208748055,0
4.086258689,3.27584145,0
3.515906,3.232591787,0
2.763741593,3.21532398,0
2.152612974,3.245087514,0
3.259080427,3.336488366,0
2.874242428,3.344905566,0
3.779518035,3.322779714,0
3.890232384,3.408321385,0
2.779589617,3.384604835,0
2.5970949,3.393080761,0
2.670740816,4.476287531,0
2.205596411,4.417170584,0
3.384878448,4.477647104,0
4.414331228,4.463489689,0
1.939466135,4.406232281,0
2.945069043,4.460536249,0
4.367520531,4.394429536,0
3.686220863,4.464270733,0
4.020929139,4.44081122,0
3.686991861,4.421736826,0
2.237800927,4.429680958,0
3.604155659,4.406297541,0
4.0745329,4.354037869,0
4.050074483,4.360084262,0
4.643603776,4.33653223,0
4.643603776,4.340309312,0
3.338094261,4.397193663,0
3.745861869,4.337344575,0
3.042094493,2.964581597,0
